Date,Total Records,Status,Verification,High,Low,Close,Next High,Next Low,Next Close
04/28/2022,28844,completed,passed,2390.27,2351.48,2356.17,2359.4,2303.26,2307.44
05/02/2022,31353,completed,passed,2359.4,2303.26,2307.44,2312.07,2269.73,2275.68
05/04/2022,27521,completed,passed,2312.07,2269.73,2275.68,2275.42,2225.79,2238.62
05/05/2022,34188,completed,passed,2275.42,2225.79,2238.62,2256.64,2204.37,2256.57
05/08/2022,27153,completed,passed,2256.64,2204.37,2256.57,2289.84,2255.45,2268.84
05/09/2022,28627,completed,passed,2289.84,2255.45,2268.84,2314.63,2268.76,2313
05/10/2022,26515,completed,passed,2314.63,2268.76,2313,2369.17,2313.28,2369.06
05/11/2022,37716,completed,passed,2369.17,2313.28,2369.06,2389.07,2343.33,2350.42
05/12/2022,39959,completed,passed,2389.07,2343.33,2350.42,2350.43,2263.3,2265.52
05/17/2022,33565,completed,passed,2350.43,2263.3,2265.52,2281.96,2237.98,2274.42
05/18/2022,27005,completed,passed,2281.96,2237.98,2274.42,2282.88,2247.6,2250.91
05/19/2022,23537,completed,passed,2282.88,2247.6,2250.91,2258.51,2231.33,2235.09
05/20/2022,19084,completed,passed,2258.51,2231.33,2235.09,2249.62,2191.03,2200.88
05/23/2022,28452,completed,passed,2249.62,2191.03,2200.88,2227.87,2190.52,2217.19
05/24/2022,21658,completed,passed,2227.87,2190.52,2217.19,2243.57,2222.01,2231.57
05/25/2022,21970,completed,passed,2243.57,2222.01,2231.57,2245.42,2222.89,2239.6
05/26/2022,18771,completed,passed,2245.42,2222.89,2239.6,2250.69,2214.64,2223.78
05/27/2022,21882,completed,passed,2250.69,2214.64,2223.78,2233.54,2173.44,2173.44
05/30/2022,26875,completed,passed,2233.54,2173.44,2173.44,2172.01,2126.39,2137.92
05/31/2022,27476,completed,passed,2172.01,2126.39,2137.92,2154.58,2119.41,2130.71
06/01/2022,23031,completed,passed,2154.58,2119.41,2130.71,2142.65,2107.77,2112.47
06/02/2022,21768,completed,passed,2142.65,2107.77,2112.47,2117.4,2071.93,2078.7
06/03/2022,26663,completed,passed,2117.4,2071.93,2078.7,2093.95,2054.13,2065.82
06/06/2022,25849,completed,passed,2093.95,2054.13,2065.82,2065.19,2016.78,2020.23
06/07/2022,28878,completed,passed,2065.19,2016.78,2020.23,2096.18,2017.25,2080.44
06/08/2022,30621,completed,passed,2096.18,2017.25,2080.44,2115.6,2058.28,2062.8
06/09/2022,30696,completed,passed,2115.6,2058.28,2062.8,2070.01,2036.55,2048.16
06/10/2022,18564,completed,passed,2070.01,2036.55,2048.16,2052.47,2027.05,2032.34
06/13/2022,20744,completed,passed,2052.47,2027.05,2032.34,2034.81,1990.32,1996.26
06/14/2022,31752,completed,passed,2034.81,1990.32,1996.26,1999.08,1945.42,1966.37
06/15/2022,30539,completed,passed,1999.08,1945.42,1966.37,1993.95,1950.76,1978.94
06/16/2022,25566,completed,passed,1993.95,1950.76,1978.94,1991.58,1966.85,1971.36
06/17/2022,15138,completed,passed,1991.58,1966.85,1971.36,1974.22,1928.19,1934.11
06/19/2022,26952,completed,passed,1974.22,1928.19,1934.11,1934.64,1879.69,1884.81
06/20/2022,36410,completed,passed,1934.64,1879.69,1884.81,1931.91,1877.8,1924.74
06/21/2022,25298,completed,passed,1931.91,1877.8,1924.74,1926.99,1889.7,1893.53
06/22/2022,20387,completed,passed,1926.99,1889.7,1893.53,1889.4,1835.88,1848.28
06/23/2022,33397,completed,passed,1889.4,1835.88,1848.28,1879.45,1806.95,1862.06
06/24/2022,22844,completed,passed,1879.45,1806.95,1862.06,1957.09,1863.43,1956.98
06/26/2022,44264,completed,passed,1957.09,1863.43,1956.98,1987.59,1931.17,1933.13
06/27/2022,43036,completed,passed,1987.59,1931.17,1933.13,1936.01,1908.74,1921.31
06/28/2022,23083,completed,passed,1936.01,1908.74,1921.31,1963.77,1915.19,1962.71
06/29/2022,29370,completed,passed,1963.77,1915.19,1962.71,2037.64,1966.85,2037.64
06/30/2022,47265,completed,passed,2037.64,1966.85,2037.64,2053.98,2015.56,2028.77
07/01/2022,28828,completed,passed,2053.98,2015.56,2028.77,2086.38,2020.96,2086.38
07/03/2022,45047,completed,passed,2086.38,2020.96,2086.38,2148.61,2059,2076.67
07/04/2022,75645,completed,passed,2148.61,2059,2076.67,2091.88,2025.57,2030.59
07/05/2022,49326,completed,passed,2091.88,2025.57,2030.59,2047.37,1994.54,2043.92
07/06/2022,37936,completed,passed,2047.37,1994.54,2043.92,2080.96,2023.01,2027.32
07/07/2022,31218,completed,passed,2080.96,2023.01,2027.32,2033.4,1988.43,1992.61
07/08/2022,20087,completed,passed,2033.4,1988.43,1992.61,1993.55,1912.49,1915.61
07/11/2022,45113,completed,passed,1993.55,1912.49,1915.61,1947.54,1908.59,1927.28
07/12/2022,30641,completed,passed,1947.54,1908.59,1927.28,1986.82,1928.5,1986.82
07/13/2022,32719,completed,passed,1986.82,1928.5,1986.82,2012.16,1977.14,2001.53
07/14/2022,39104,completed,passed,2012.16,1977.14,2001.53,2009.89,1989.19,2009.46
07/15/2022,21566,completed,passed,2009.89,1989.19,2009.46,2018.97,1994.75,2011.39
07/17/2022,25850,completed,passed,2018.97,1994.75,2011.39,2029.46,2000.14,2029.43
07/18/2022,23319,completed,passed,2029.46,2000.14,2029.43,2062.36,2028.17,2045.63
07/19/2022,37879,completed,passed,2062.36,2028.17,2045.63,2061.56,2033.28,2050.59
07/20/2022,28994,completed,passed,2061.56,2033.28,2050.59,2066.07,2038.33,2044.72
07/21/2022,27464,completed,passed,2066.07,2038.33,2044.72,2047.29,2013.46,2017.46
07/22/2022,23819,completed,passed,2047.29,2013.46,2017.46,2078.51,2027.66,2078.51
07/24/2022,42817,completed,passed,2078.51,2027.66,2078.51,2134.62,2081.65,2132.96
07/25/2022,59848,completed,passed,2134.62,2081.65,2132.96,2141.61,2085.83,2088.16
07/26/2022,60428,completed,passed,2141.61,2085.83,2088.16,2112.11,2065.96,2111.99
07/27/2022,50150,completed,passed,2112.11,2065.96,2111.99,2156.39,2105.7,2127.42
07/28/2022,72244,completed,passed,2156.39,2105.7,2127.42,2147.63,2117.31,2140.39
07/29/2022,34931,completed,passed,2147.63,2117.31,2140.39,2195.35,2142.3,2195.1
07/31/2022,67637,completed,passed,2195.35,2142.3,2195.1,2224.48,2183.22,2196.25
08/01/2022,67095,completed,passed,2224.48,2183.22,2196.25,2202.88,2170.25,2193.43
08/02/2022,50243,completed,passed,2202.88,2170.25,2193.43,2214.05,2183.09,2186.77
08/03/2022,57155,completed,passed,2214.05,2183.09,2186.77,2193.35,2147.7,2148.16
08/04/2022,56606,completed,passed,2193.35,2147.7,2148.16,2150.58,2108.34,2113.3
08/05/2022,40293,completed,passed,2150.58,2108.34,2113.3,2133.62,2107.49,2123.82
08/07/2022,44104,completed,passed,2133.62,2107.49,2123.82,2140.26,2102.25,2106.15
08/08/2022,44449,completed,passed,2140.26,2102.25,2106.15,2112.71,2060.31,2062.8
08/09/2022,46201,completed,passed,2112.71,2060.31,2062.8,2074.92,2042.62,2056.88
08/10/2022,36054,completed,passed,2074.92,2042.62,2056.88,2074.73,2036.8,2037.92
08/11/2022,36189,completed,passed,2074.73,2036.8,2037.92,2043.03,2007.68,2010.01
08/14/2022,38343,completed,passed,2043.03,2007.68,2010.01,2065.9,2007.19,2065.89
08/15/2022,42821,completed,passed,2065.9,2007.19,2065.89,2088.23,2035.47,2041.06
08/16/2022,43340,completed,passed,2088.23,2035.47,2041.06,2053.09,2035.38,2040.7
08/17/2022,26157,completed,passed,2053.09,2035.38,2040.7,2072.37,2041.71,2068.26
08/18/2022,41528,completed,passed,2072.37,2041.71,2068.26,2089.25,2055.78,2060.55
08/21/2022,43375,completed,passed,2089.25,2055.78,2060.55,2065.81,2043.72,2053.13
08/22/2022,31732,completed,passed,2065.81,2043.72,2053.13,2060.21,2048.8,2054.95
08/23/2022,27140,completed,passed,2060.21,2048.8,2054.95,2073.54,2052.13,2057.85
08/24/2022,33591,completed,passed,2073.54,2052.13,2057.85,2068.55,2035.69,2039.55
08/25/2022,32903,completed,passed,2068.55,2035.69,2039.55,2040.46,2018.18,2022.62
08/26/2022,26954,completed,passed,2040.46,2018.18,2022.62,2022.76,1987.04,1989.26
08/28/2022,43848,completed,passed,2022.76,1987.04,1989.26,1995.78,1975.07,1993.02
08/29/2022,25988,completed,passed,1995.78,1975.07,1993.02,2012.18,1987.39,1995.21
08/30/2022,20789,completed,passed,2012.18,1987.39,1995.21,1996.89,1968.41,1973.38
08/31/2022,29517,completed,passed,1996.89,1968.41,1973.38,1982.34,1953.58,1972.29
09/01/2022,29073,completed,passed,1982.34,1953.58,1972.29,1984.88,1964.8,1970.62
09/02/2022,13293,completed,passed,1984.88,1964.8,1970.62,1988.38,1969.48,1977.3
09/04/2022,25001,completed,passed,1988.38,1969.48,1977.3,1987.57,1970.68,1973.01
09/05/2022,21434,completed,passed,1987.57,1970.68,1973.01,1978,1947.21,1951.79
09/06/2022,24590,completed,passed,1978,1947.21,1951.79,1955.97,1933.29,1939.88
09/07/2022,20420,completed,passed,1955.97,1933.29,1939.88,1947.91,1925.22,1937.74
09/08/2022,22142,completed,passed,1947.91,1925.22,1937.74,1946.42,1922,1926.28
09/11/2022,20094,completed,passed,1946.42,1922,1926.28,1928.71,1906.75,1912.74
09/12/2022,20497,completed,passed,1928.71,1906.75,1912.74,1940.85,1913.2,1934.04
09/13/2022,20451,completed,passed,1940.85,1913.2,1934.04,1984.12,1936.34,1981.48
09/14/2022,30976,completed,passed,1984.12,1936.34,1981.48,1989.84,1920.38,1924.48
09/15/2022,35504,completed,passed,1989.84,1920.38,1924.48,1921.05,1886.72,1910.38
09/16/2022,18501,completed,passed,1921.05,1886.72,1910.38,1911.57,1874.14,1876.41
09/18/2022,27728,completed,passed,1911.57,1874.14,1876.41,1877.65,1833.55,1837.6
